StringtieGene	honeybee.GeneName	dmel.symbol
MSTRG.13532	LOC412379	ATP7
MSTRG.13533	Syt20	Sytalpha
MSTRG.13534	LOC726864	snsl
MSTRG.13535	/	/
MSTRG.13536	LOC113219295	/
MSTRG.13537	LOC413633	sff
MSTRG.13538	LOC100576709	Wdr62
MSTRG.13539	LOC102656625	/
MSTRG.1354	LOC552141	beta4GalNAcTB
MSTRG.13540	LOC113219316	/
MSTRG.13541	LOC107965706	/
MSTRG.13542	LOC552328	Glys
MSTRG.13543	LOC113219323	/
MSTRG.13544	/	CCAP-R
MSTRG.13545	LOC726935	CCAP-R
MSTRG.13546	Mir3760	/
MSTRG.13547	/	/
MSTRG.13548	LOC724126	AANATL5
MSTRG.13549	LOC102654151	/
MSTRG.1355	LOC552167	CG9915
MSTRG.13550	LOC724161	Ns1
MSTRG.13551	LOC413385	cdi
MSTRG.13552	Mir3795	/
MSTRG.13553	LOC107965678	CG6847
MSTRG.13554	/	CG6847
MSTRG.13555	/	CG6847
MSTRG.13556	/	/
MSTRG.13557	/	/
MSTRG.13558	/	/
MSTRG.13559	/	/
MSTRG.1356	LOC412601	Smox
MSTRG.13560	LOC107965674	Ctns
MSTRG.13561	LOC102655009	CG6660
MSTRG.13562	LOC724468	aus
MSTRG.13563	/	/
MSTRG.13564	LOC107965676	/
MSTRG.13565	LOC102654852	/
MSTRG.13566	/	/
MSTRG.13567	Mir3796	/
MSTRG.13568	LOC113219324	/
MSTRG.13569	/	/
MSTRG.1357	LOC102656575	/
MSTRG.13570	LOC100577769	Drep4
MSTRG.13571	LOC724552	CG5326
MSTRG.13572	/	/
MSTRG.13573	/	/
MSTRG.13574	/	/
MSTRG.13575	LOC550828	Elovl7
MSTRG.13576	LOC113219294	bond
MSTRG.13577	LOC551938	sit
MSTRG.13578	LOC107965697	/
MSTRG.13579	LOC724867	CG33110
MSTRG.1358	LOC102656224	/
MSTRG.13580	/	/
MSTRG.13581	LOC412064	U2A
MSTRG.13582	LOC552448	Arl8
MSTRG.13583	LOC724807	CG15432
MSTRG.13584	LOC412513	udt
MSTRG.13585	LOC413789	CG31523
MSTRG.13586	/	/
MSTRG.13587	LOC107965687	CG31522
MSTRG.13588	LOC102656258	nxf2
MSTRG.13589	LOC411469	IntS1
MSTRG.1359	LOC724950	mys
MSTRG.13590	LOC552334	Sf3a2
MSTRG.13591	LOC100578129	cmet
MSTRG.13592	LOC552318	RpL27A
MSTRG.13593	LOC100577996	/
MSTRG.13594	/	/
MSTRG.13595	Cyp4g11	Cyp4g15
MSTRG.13596	/	/
MSTRG.13597	LOC107965713	/
MSTRG.13598	LOC113219296	/
MSTRG.13599	LOC107965714	/
MSTRG.136	LOC409620	Vps8
MSTRG.1360	LOC552251	al
MSTRG.13600	LOC113219317	/
MSTRG.13601	LOC102655376	/
MSTRG.13602	LOC102654984	/
MSTRG.13603	LOC102655025	/
MSTRG.13604	LOC102655208	/
MSTRG.13605	/	/
MSTRG.13606	LOC408556	eIF5B
MSTRG.13607	LOC102655915	/
MSTRG.13608	/	/
MSTRG.13609	/	/
MSTRG.1361	LOC408580	eIF2D
MSTRG.13610	LOC100577046	sty
MSTRG.13611	/	/
MSTRG.13612	LOC102655793	/
MSTRG.13613	LOC412696	CG9578
MSTRG.13614	LOC113219326	CG43155
MSTRG.13615	/	/
MSTRG.13616	LOC411953	ppan
MSTRG.13617	LOC725469	cmet
MSTRG.13618	LOC409487	Nadsyn
MSTRG.13619	LOC411556	Nna1
MSTRG.1362	/	/
MSTRG.13620	LOC552100	ovo
MSTRG.13621	/	/
MSTRG.13622	LOC107965694	Root
MSTRG.13623	LOC113219297	/
MSTRG.13624	LOC100576736	/
MSTRG.13625	LOC551991	CG13607
MSTRG.13626	LOC107965657	/
MSTRG.13627	/	/
MSTRG.13628	LOC413774	mRpL47
MSTRG.13629	LOC551947	bchs
MSTRG.1363	LOC410689	fne
MSTRG.13630	LOC107965692	Parg
MSTRG.13631	LOC413802	prd1
MSTRG.13632	LOC551039	Dld
MSTRG.13633	LOC551771	und
MSTRG.13634	LOC409514	CG9328
MSTRG.13635	LOC102653684	/
MSTRG.13636	LOC100576554	l(1)G0289
MSTRG.13637	LOC551848	stan
MSTRG.13638	/	/
MSTRG.13639	LOC725928	spg
MSTRG.1364	LOC552096	CG31019
MSTRG.13640	LOC102654221	/
MSTRG.13641	LOC551165	Inx3
MSTRG.13642	LOC102654340	/
MSTRG.13643	/	/
MSTRG.13644	LOC107965701	/
MSTRG.13645	LOC102656603	/
MSTRG.13646	Ubx	Ubx
MSTRG.13647	LOC102655707	/
MSTRG.13648	/	/
MSTRG.13649	LOC412083	gammaCOP
MSTRG.1365	LOC409027	Lrch
MSTRG.13650	LOC408557	prtp
MSTRG.13651	LOC408558	Tektin-A
MSTRG.13652	LOC408559	CG31075
MSTRG.13653	Ndufb2	ND-AGGG
MSTRG.13654	/	/
MSTRG.13655	LOC724252	Dfd
MSTRG.13656	/	/
MSTRG.13657	LOC410648	pb
MSTRG.13658	LOC113219327	pb
MSTRG.13659	Antp	Antp
MSTRG.1366	/	/
MSTRG.13660	LOC102655734	/
MSTRG.13661	LOC100578558	/
MSTRG.13662	/	/
MSTRG.13663	/	/
MSTRG.13664	/	/
MSTRG.13665	/	/
MSTRG.13666	LOC102655316	/
MSTRG.13667	LOC102655509	/
MSTRG.13668	/	/
MSTRG.13669	LOC102656757	Scr
MSTRG.1367	/	/
MSTRG.13670	/	/
MSTRG.13671	LOC551506	Scr
MSTRG.13672	/	/
MSTRG.13673	LOC113219303	/
MSTRG.13674	LOC107965722	/
MSTRG.13675	Mir10	/
MSTRG.13676	LOC102654837	/
MSTRG.13677	LOC102653741	/
MSTRG.13678	LOC100578921	lab
MSTRG.13679	LOC102653850	lab
MSTRG.1368	LOC411351	mEFG1
MSTRG.13680	LOC413799	Tim17b
MSTRG.13681	/	/
MSTRG.13682	LOC551252	CG5376
MSTRG.13683	TRNAV-AAC	/
MSTRG.13684	Apid1	/
MSTRG.13685	LOC100577697	CG12320
MSTRG.13686	LOC100578237	/
MSTRG.13687	LOC409777	Ir8a
MSTRG.13688	LOC113219307	/
MSTRG.13689	LOC102653761	Ir8a
MSTRG.1369	LOC413895	wit
MSTRG.13690	LOC102653780	/
MSTRG.13691	LOC113219309	/
MSTRG.13692	LOC551799	CG44085
MSTRG.13693	LOC102656566	/
MSTRG.13694	LOC107965668	/
MSTRG.13695	LOC102656592	/
MSTRG.13696	/	/
MSTRG.13697	LOC413119	Hgsnat
MSTRG.13698	LOC413121	mRpL22
MSTRG.13699	LOC413120	CG3061
MSTRG.137	LOC409930	ATPsynF
MSTRG.1370	/	/
MSTRG.13700	Rpl39	RpL39
MSTRG.13701	LOC551686	wal
MSTRG.13702	LOC413179	MED7
MSTRG.13703	LOC413852	NitFhit
MSTRG.13704	LOC551505	EMC3
MSTRG.13705	LOC725118	Ptp69D
MSTRG.13706	/	/
MSTRG.13707	LOC113219291	/
MSTRG.13708	LOC102654289	/
MSTRG.13709	LOC100577163	Btk
MSTRG.1371	/	/
MSTRG.13710	LOC100577317	/
MSTRG.13711	/	/
MSTRG.13712	LOC102655539	/
MSTRG.13713	LOC102655582	/
MSTRG.13714	LOC102655619	/
MSTRG.13715	/	/
MSTRG.13716	/	/
MSTRG.13717	LOC102655781	/
MSTRG.13718	LOC102655864	/
MSTRG.13719	LOC102655928	/
MSTRG.1372	/	/
MSTRG.13720	LOC102656015	/
MSTRG.13721	LOC107963996	CG7509
MSTRG.13722	/	Tollo
MSTRG.13723	/	/
MSTRG.13724	/	/
MSTRG.13725	/	/
MSTRG.13726	LOC102656292	/
MSTRG.13727	LOC551429	wkd
MSTRG.13728	LOC725252	Tsen54
MSTRG.13729	Su(var)3-9	eIF2gamma
MSTRG.1373	/	/
MSTRG.13730	LOC412563	Gnpat
MSTRG.13731	LOC113219304	/
MSTRG.13732	LOC412608	PKD
MSTRG.13733	LOC725395	GluProRS
MSTRG.13734	LOC551374	Phf7
MSTRG.13735	LOC100578071	PolZ1
MSTRG.13736	LOC551436	CCT8
MSTRG.13737	LOC550989	CG1407
MSTRG.13738	LOC102654610	Gip
MSTRG.13739	LOC551079	CG3955
MSTRG.1374	LOC413502	wg
MSTRG.13740	/	/
MSTRG.13741	LOC102656259	/
MSTRG.13742	LOC552490	kairos
MSTRG.13743	/	/
MSTRG.13744	LOC113219299	/
MSTRG.13745	Def2	Def
MSTRG.13746	LOC409890	Cyp1
MSTRG.13747	LOC409891	/
MSTRG.13748	LOC102654007	l(3)87Df
MSTRG.13749	LOC552564	RpS7
MSTRG.1375	LOC102653813	/
MSTRG.13750	LOC552610	COX5B
MSTRG.13751	LOC726096	CG14480
MSTRG.13752	LOC100577966	/
MSTRG.13753	LOC552597	Cks85A
MSTRG.13754	LOC113219314	Sobp
MSTRG.13755	LOC551547	stck
MSTRG.13756	LOC102655538	CG32236
MSTRG.13757	LOC552288	CG9356
MSTRG.13758	LOC100578793	CG42268
MSTRG.13759	LOC113219306	/
MSTRG.1376	LOC100578060	/
MSTRG.13760	LOC100577886	CG7099
MSTRG.13761	LOC552113	Fatp1
MSTRG.13762	LOC102655363	CG33170
MSTRG.13763	LOC412349	EMC4
MSTRG.13764	LOC113219328	CG32086
MSTRG.13765	/	/
MSTRG.13766	LOC726279	Mpp6
MSTRG.13767	LOC552009	Mic26-27
MSTRG.13768	/	/
MSTRG.13769	/	/
MSTRG.1377	LOC413499	Cdc23
MSTRG.13770	LOC411815	Wwox
MSTRG.13771	LOC411816	Dlic
MSTRG.13772	LOC100578035	ifc
MSTRG.13773	LOC412529	csw
MSTRG.13774	/	csw
MSTRG.13775	LOC100576544	CG8067
MSTRG.13776	LOC551106	Ufc1
MSTRG.13777	LOC551151	CG8149
MSTRG.13778	/	/
MSTRG.13779	/	/
MSTRG.1378	LOC413501	Wnt6
MSTRG.13780	LOC725662	CG8677
MSTRG.13781	/	/
MSTRG.13782	LOC412357	Atac3
MSTRG.13783	LOC725470	NaPi-T
MSTRG.13784	LOC102653621	/
MSTRG.13785	LOC551214	CG12065
MSTRG.13786	LOC409655	CAP
MSTRG.13787	LOC113219311	/
MSTRG.13788	LOC102656533	/
MSTRG.13789	/	/
MSTRG.1379	LOC413500	Wnt10
MSTRG.13790	/	/
MSTRG.13791	LOC412890	AdamTS-A
MSTRG.13792	LOC550708	mib1
MSTRG.13793	Mir1-1	/
MSTRG.13794	LOC113219313	/
MSTRG.13795	LOC107965703	/
MSTRG.13796	LOC107965683	/
MSTRG.13797	LOC102654623	/
MSTRG.13798	LOC102654662	/
MSTRG.13799	LOC113219312	/
MSTRG.138	/	/
MSTRG.1380	/	/
MSTRG.13800	Mir133	/
MSTRG.13801	/	/
MSTRG.13802	/	mib1
MSTRG.13803	LOC726418	Fmo-2
MSTRG.13804	LOC726437	CG5359
MSTRG.13805	LOC408561	/
MSTRG.13806	LOC100576384	Ptp10D
MSTRG.13807	LOC100576410	/
MSTRG.13808	/	/
MSTRG.13809	LOC410655	DIP-eta
MSTRG.1381	/	/
MSTRG.13810	LOC113219332	/
MSTRG.13811	LOC113219330	/
MSTRG.13812	LOC100578618	/
MSTRG.13813	LOC413407	EloA
MSTRG.13814	LOC551871	hoe1
MSTRG.13815	LOC410657	acj6
MSTRG.13816	/	/
MSTRG.13817	LOC413409	sw
MSTRG.13818	LOC413408	dsb
MSTRG.13819	LOC551685	Src42A
MSTRG.1382	LOC409937	ninaC
MSTRG.13820	LOC551652	Dlc90F
MSTRG.13821	LOC100577516	CG9452
MSTRG.13822	LOC102653588	Cpsf73
MSTRG.13823	LOC724423	PolQ
MSTRG.13824	LOC100578474	MICU3
MSTRG.13825	TRNAK-CUU	/
MSTRG.13826	LOC102655097	CG3662
MSTRG.13827	LOC100578277	CG34313
MSTRG.13828	LOC410639	amd
MSTRG.13829	LOC113219333	/
MSTRG.1383	LOC409936	lolal
MSTRG.13830	TRNAT-AGU	/
MSTRG.13831	TRNAA-AGC	/
MSTRG.13832	TRNAP-AGG	/
MSTRG.13833	TRNAP-CGG	/
MSTRG.13834	LOC113219334	/
MSTRG.13835	TRNAP-AGG	/
MSTRG.13836	LOC410659	Golgin97
MSTRG.13837	LOC408563	cnn
MSTRG.13838	LOC410658	Lim3
MSTRG.13839	LOC725007	CG10561
MSTRG.1384	LOC552332	Jasper
MSTRG.13840	LOC410638	Ddc
MSTRG.13841	LOC107965670	/
MSTRG.13842	/	/
MSTRG.13843	/	/
MSTRG.13844	LOC100578001	CG1461
MSTRG.13845	LOC725204	Tat
MSTRG.13846	LOC408552	Col4a1
MSTRG.13847	/	Col4a1
MSTRG.13848	LOC408551	vkg
MSTRG.13849	/	Col4a1
MSTRG.1385	LOC102655663	Gr28b
MSTRG.13850	/	/
MSTRG.13851	/	vkg
MSTRG.13852	LOC102655737	CadN
MSTRG.13853	/	/
MSTRG.13854	LOC113219301	CG33995
MSTRG.13855	LOC413614	Rab14
MSTRG.13856	LOC409176	resilin
MSTRG.13857	LOC410637	tai
MSTRG.13858	/	/
MSTRG.13859	LOC411607	Pcd
MSTRG.1386	LOC409792	Ndae1
MSTRG.13860	LOC725566	SdhD
MSTRG.13861	LOC102654640	Pus7
MSTRG.13862	LOC102654597	Kr-h1
MSTRG.13863	LOC725756	Ect3
MSTRG.13864	LOC100577823	CG11808
MSTRG.13865	LOC411714	CG3107
MSTRG.13866	Y-f	yellow-c
MSTRG.13867	LOC412056	CG8654
MSTRG.13868	LOC107965704	/
MSTRG.13869	LOC412167	CG33288
MSTRG.1387	/	/
MSTRG.13870	LOC411362	Usp8
MSTRG.13871	LOC409032	Pngl
MSTRG.13872	/	/
MSTRG.13873	LOC113219336	/
MSTRG.13874	LOC113219340	/
MSTRG.13875	/	/
MSTRG.13876	LOC113219341	/
MSTRG.13877	LOC113219342	CG4587
MSTRG.13878	/	/
MSTRG.13879	LOC724790	mRpL41
MSTRG.1388	/	/
MSTRG.13880	LOC413736	Sik2
MSTRG.13881	LOC411380	RpL30
MSTRG.13882	LOC551470	TfIIFbeta
MSTRG.13883	LOC551447	Mpi
MSTRG.13884	/	/
MSTRG.13885	/	/
MSTRG.13886	LOC102654368	alpha4GT1
MSTRG.13887	/	/
MSTRG.13888	/	/
MSTRG.13889	LOC113219345	CG4587
MSTRG.1389	LOC410684	oc
MSTRG.13890	/	/
MSTRG.13891	/	/
MSTRG.13892	LOC113219349	CYTB
MSTRG.13893	LOC113219346	ND1
MSTRG.13894	LOC113219347	ND1
MSTRG.13895	LOC113219348	ND1
MSTRG.13896	LOC113219350	ND1
MSTRG.13897	LOC100578173	/
MSTRG.13898	/	/
MSTRG.13899	/	/
MSTRG.139	LOC100577325	Nthl1
MSTRG.1390	/	/
MSTRG.13900	LOC102654884	/
MSTRG.13901	/	/
MSTRG.13902	LOC107965822	/
MSTRG.13903	LOC113219355	/
MSTRG.13904	/	/
MSTRG.13905	/	/
MSTRG.13906	/	/
MSTRG.13907	LOC113219358	/
MSTRG.13908	/	/
MSTRG.13909	/	/
MSTRG.1391	LOC410686	Sema1a
MSTRG.13910	/	/
MSTRG.13911	/	/
MSTRG.13912	/	/
MSTRG.13913	LOC100577767	/
MSTRG.13914	LOC102654390	/
MSTRG.13915	LOC113219351	/
MSTRG.13916	/	/
MSTRG.13917	/	/
MSTRG.13918	/	/
MSTRG.13919	/	/
MSTRG.1392	Mir9880	/
MSTRG.13920	/	/
MSTRG.13921	LOC107965873	/
MSTRG.13922	LOC726834	CG5131
MSTRG.13923	LOC100578019	/
MSTRG.13924	TRNAD-GUC	/
MSTRG.13925	LOC102654216	/
MSTRG.13926	/	/
MSTRG.13927	LOC727142	CG8675
MSTRG.13928	LOC100576967	Bin1
MSTRG.13929	LOC100578661	/
MSTRG.1393	LOC410685	otk
MSTRG.13930	Mir1175	/
MSTRG.13931	Mir750	/
MSTRG.13932	LOC102653753	nbs
MSTRG.13933	LOC552238	CG10064
MSTRG.13934	LOC113219359	Atg12
MSTRG.13935	/	/
MSTRG.13936	/	/
MSTRG.13937	/	/
MSTRG.13938	LOC100576828	mael
MSTRG.13939	LOC113219362	/
MSTRG.1394	/	otk
MSTRG.13940	/	/
MSTRG.13941	/	/
MSTRG.13942	/	/
MSTRG.13943	LOC409880	Rpn5
MSTRG.13944	LOC100577594	Rpn5
MSTRG.13945	LOC726483	IleRS-m
MSTRG.13946	LOC100577816	Grip163
MSTRG.13947	LOC551340	FoxK
MSTRG.13948	LOC409139	CG34370
MSTRG.13949	LOC102656055	/
MSTRG.1395	otd2	oc
MSTRG.13950	LOC727332	l(1)10Bb
MSTRG.13951	LOC551434	CG7966
MSTRG.13952	/	CG7966
MSTRG.13953	LOC113219361	/
MSTRG.13954	LOC100578361	/
MSTRG.13955	/	/
MSTRG.13956	LOC113219364	/
MSTRG.13957	LOC113219365	/
MSTRG.13958	/	/
MSTRG.13959	LOC102656085	/
MSTRG.1396	LOC411721	CG7420
MSTRG.13960	/	CG42269
MSTRG.13961	LOC113219366	CG42269
MSTRG.13962	LOC102656321	/
MSTRG.13963	LOC102656390	/
MSTRG.13964	/	/
MSTRG.13965	LOC113219367	/
MSTRG.13966	/	/
MSTRG.13967	LOC100577929	/
MSTRG.13968	/	/
MSTRG.13969	/	/
MSTRG.1397	LOC725609	CG5446
MSTRG.13970	LOC102655373	/
MSTRG.13971	/	/
MSTRG.13972	/	/
MSTRG.13973	/	/
MSTRG.13974	LOC102654354	/
MSTRG.13975	/	/
MSTRG.13976	LOC113219369	/
MSTRG.13977	LOC113219368	/
MSTRG.13978	/	/
MSTRG.13979	/	/
MSTRG.1398	LOC411722	CG4293
MSTRG.13980	/	/
MSTRG.13981	LOC113219370	CG10486
MSTRG.13982	/	/
MSTRG.13983	/	/
MSTRG.13984	LOC726688	CG42269
MSTRG.13985	LOC113219372	CG42269
MSTRG.13986	/	COX3
MSTRG.13987	/	/
MSTRG.13988	/	/
MSTRG.13989	LOC113219373	/
MSTRG.1399	LOC411723	Nedd4
MSTRG.13990	/	/
MSTRG.13991	/	CG42269
MSTRG.13992	LOC113219377	/
MSTRG.13993	/	/
MSTRG.13994	/	/
MSTRG.13995	LOC113219376	/
MSTRG.13996	/	/
MSTRG.13997	LOC113219380	/
MSTRG.13998	/	/
MSTRG.13999	LOC113219383	/
MSTRG.14	nbisL1-trna-9	/
MSTRG.140	LOC113219401	/
MSTRG.1400	LOC410683	CG2187
MSTRG.14000	/	/
MSTRG.14001	LOC113219381	/
MSTRG.14002	LOC113219386	/
MSTRG.14003	LOC113219387	/
MSTRG.14004	/	/
MSTRG.14005	/	/
MSTRG.1401	LOC102654681	CG11110
MSTRG.1402	LOC551494	RIC-3
MSTRG.1403	LOC726034	CG8152
MSTRG.1404	LOC725980	CG44242
MSTRG.1405	LOC411700	Hsp83
MSTRG.1406	LOC100577074	/
MSTRG.1407	Mir9a	/
MSTRG.1408	LOC100577704	/
MSTRG.1409	/	/
MSTRG.141	LOC724372	vito
MSTRG.1410	LOC102655034	mst
MSTRG.1411	/	/
MSTRG.1412	LOC408573	eIF6
MSTRG.1413	LOC726061	Tim10
MSTRG.1414	RCC1	Rcc1
MSTRG.1415	LOC726148	CG45263
MSTRG.1416	LOC107963988	/
MSTRG.1417	LOC412778	kon
MSTRG.1418	LOC408574	/
MSTRG.1419	LOC551791	amx
MSTRG.142	LOC725343	Agps
MSTRG.1420	LOC408575	DMAP1
MSTRG.1421	LOC412777	Nckx30C
MSTRG.1422	/	/
MSTRG.1423	/	/
MSTRG.1424	LOC413576	CG10960
MSTRG.1425	LOC100578467	S
MSTRG.1426	LOC413577	CG32944
MSTRG.1427	LOC102656513	/
MSTRG.1428	LOC412407	lost
MSTRG.1429	LOC726349	Unc-115a
MSTRG.143	LOC725306	Hel89B
MSTRG.1430	LOC413574	CG1213
MSTRG.1431	LOC552128	Idh3b
MSTRG.1432	LOC552153	Sec20
MSTRG.1433	LOC726562	Vps15
MSTRG.1434	LOC113218663	/
MSTRG.1435	/	/
MSTRG.1436	LOC113218556	CG13032
MSTRG.1437	LOC107966053	CG30377
MSTRG.1438	/	CG30377
MSTRG.1439	LOC725976	Fkbp39
MSTRG.144	LOC102654804	Msr-110
MSTRG.1440	LOC414042	CG5554
MSTRG.1441	LOC100576242	CG6184
MSTRG.1442	LOC726708	pall
MSTRG.1443	LOC551725	msk
MSTRG.1444	LOC409225	UbcE2M
MSTRG.1445	LOC409226	casp
MSTRG.1446	LOC551637	Mtr4
MSTRG.1447	LOC412412	Mfap1
MSTRG.1448	LOC726766	Dcr-2
MSTRG.1449	LOC551606	Rrp42
MSTRG.145	/	/
MSTRG.1450	LOC412449	CG17493
MSTRG.1451	LOC551633	rush
MSTRG.1452	LOC113219410	/
MSTRG.1453	LOC102656360	/
MSTRG.1454	LOC551665	RNASEK
MSTRG.1455	LOC100578205	dgt6
MSTRG.1456	LOC410678	mRpS11
MSTRG.1457	LOC724145	CG6865
MSTRG.1458	LOC100578271	mus312
MSTRG.1459	LOC412362	Pgm2a
MSTRG.146	TRNAL-AAG	/
MSTRG.1460	LOC412361	CG6565
MSTRG.1461	LOC727229	Hira
MSTRG.1462	LOC724195	tei
MSTRG.1463	/	/
MSTRG.1464	LOC107965369	/
MSTRG.1465	/	/
MSTRG.1466	LOC102655531	/
MSTRG.1467	LOC551158	mRpS17
MSTRG.1468	LOC551207	Fcp1
MSTRG.1469	LOC100576938	Snup
MSTRG.147	LOC102656644	/
MSTRG.1470	LOC551281	Snup
MSTRG.1471	LOC412262	hook
MSTRG.1472	LOC551358	Dhdds
MSTRG.1473	LOC412406	BRWD3
MSTRG.1474	LOC724638	CG7637
MSTRG.1475	LOC551452	Polr2M
MSTRG.1476	LOC551472	SIDL
MSTRG.1477	LOC408572	Chd64
MSTRG.1478	LOC107966061	/
MSTRG.1479	LOC551584	mRpS6
MSTRG.148	/	/
MSTRG.1480	LOC100577992	Hsc20
MSTRG.1481	LOC410676	Ak6
MSTRG.1482	LOC725042	CG17249
MSTRG.1483	LOC410675	Tob
MSTRG.1484	LOC725079	CG42324
MSTRG.1485	LOC100576454	stum
MSTRG.1486	/	/
MSTRG.1487	/	/
MSTRG.1488	/	/
MSTRG.1489	LOC410674	sm
MSTRG.149	/	/
MSTRG.1490	/	/
MSTRG.1491	LOC113219189	sm
MSTRG.1492	LOC410673	CG2906
MSTRG.1493	/	/
MSTRG.1494	LOC725239	CG12964
MSTRG.1495	/	/
MSTRG.1496	LOC107965063	/
MSTRG.1497	LOC410669	sim
MSTRG.1498	LOC413968	Dys
MSTRG.1499	/	/
MSTRG.15	COX1	COX1
MSTRG.150	/	/
MSTRG.1500	LOC410672	CG17168
MSTRG.1501	LOC410671	sev
MSTRG.1502	LOC102653709	CG12069
MSTRG.1503	LOC551912	CG17202
MSTRG.1504	LOC725459	CG10866
MSTRG.1505	LOC100576258	/
MSTRG.1506	LOC412734	CG7741
MSTRG.1507	LOC552014	CG11134
MSTRG.1508	LOC725684	Vlet
MSTRG.1509	LOC408570	/
MSTRG.151	LOC413835	Rbp1
MSTRG.1510	LOC102656598	/
MSTRG.1511	/	/
MSTRG.1512	/	/
MSTRG.1513	LOC100578882	/
MSTRG.1514	LOC408569	ttm50
MSTRG.1515	LOC100578855	/
MSTRG.1516	LOC100577689	TAF1C-like
MSTRG.1517	LOC725748	Ank
MSTRG.1518	LOC552142	Cirl
MSTRG.1519	/	/
MSTRG.152	LOC409931	aln
MSTRG.1520	LOC411927	CG15111
MSTRG.1521	LOC725947	CG9344
MSTRG.1522	LOC113219119	CG10336
MSTRG.1523	LOC551837	bgm
MSTRG.1524	LOC724146	hbn
MSTRG.1525	LOC724196	Rx
MSTRG.1526	LOC724239	CG6321
MSTRG.1527	LOC113218850	endos
MSTRG.1528	LOC100577648	/
MSTRG.1529	LOC551386	Rpt4
MSTRG.153	LOC107964458	/
MSTRG.1530	LOC107965508	wuho
MSTRG.1531	LOC408568	Pal1
MSTRG.1532	LOC100578551	mRpL34
MSTRG.1533	LOC100577533	/
MSTRG.1534	LOC409313	Arp2
MSTRG.1535	LOC412015	pr
MSTRG.1536	LOC409312	cert
MSTRG.1537	LOC100577501	Gp210
MSTRG.1538	LOC551559	SsRbeta
MSTRG.1539	LOC551585	CG32590
MSTRG.154	/	/
MSTRG.1540	LOC550724	Hmgcr
MSTRG.1541	LOC412240	Xpac
MSTRG.1542	/	/
MSTRG.1543	LOC413118	/
MSTRG.1544	LOC409062	alien
MSTRG.1545	LOC410662	DIP-delta
MSTRG.1546	LOC102654353	FucTC
MSTRG.1547	/	/
MSTRG.1548	LOC107966045	/
MSTRG.1549	LOC550901	CG5068
MSTRG.155	LOC100578066	Gbs-76A
MSTRG.1550	LOC551868	CG17754
MSTRG.1551	/	/
MSTRG.1552	LOC551894	CG42638
MSTRG.1553	LOC725415	Ktl
MSTRG.1554	/	/
MSTRG.1555	LOC100576447	CG4025
MSTRG.1556	LOC408646	CG10019
MSTRG.1557	LOC410791	Ucp4B
MSTRG.1558	LOC551792	lectin-37Da
MSTRG.1559	LOC113218960	nw
MSTRG.156	/	/
MSTRG.1560	/	/
MSTRG.1561	LOC100576662	/
MSTRG.1562	LOC100577043	/
MSTRG.1563	LOC725283	CG15506
MSTRG.1564	/	/
MSTRG.1565	LOC107963993	Notum
MSTRG.1566	LOC102653777	CG3655
MSTRG.1567	LOC102653941	/
MSTRG.1568	LOC102653800	GluRIID
MSTRG.1569	LOC408645	KaiR1D
MSTRG.157	LOC107964442	/
MSTRG.1570	LOC410788	GluRIIA
MSTRG.1571	LOC101664701	CG5895
MSTRG.1572	LOC724197	CG33177
MSTRG.1573	LOC724283	Ptr
MSTRG.1574	LOC410785	PlexA
MSTRG.1575	LOC113218729	/
MSTRG.1576	LOC100576697	/
MSTRG.1577	LOC724415	RhoGEF64C
MSTRG.1578	LOC410784	CG5116
MSTRG.1579	LOC409126	Rab2
MSTRG.158	LOC113219207	/
MSTRG.1580	LOC408643	Drat
MSTRG.1581	LOC102655181	Drat
MSTRG.1582	LOC409887	Dp
MSTRG.1583	LOC409886	Mo25
MSTRG.1584	LOC409127	Abl
MSTRG.1585	LOC413378	Nxt1
MSTRG.1586	LOC413377	rno
MSTRG.1587	LOC113219302	/
MSTRG.1588	/	/
MSTRG.1589	LOC724639	CG17059
MSTRG.159	/	/
MSTRG.1590	LOC100577450	/
MSTRG.1591	Gat-a	Gat
MSTRG.1592	LOC551960	eIF3k
MSTRG.1593	LOC410080	Atu
MSTRG.1594	LOC725284	kkv
MSTRG.1595	LOC412088	Naus
MSTRG.1596	TRNAF-GAA	/
MSTRG.1597	LOC725154	spirit
MSTRG.1598	LOC100576132	/
MSTRG.1599	LOC100579054	wda
MSTRG.16	ATP6	mt:CoIII
MSTRG.160	/	/
MSTRG.1600	LOC411548	MYPT-75D
MSTRG.1601	LOC100579021	CG42495
MSTRG.1602	LOC100578953	CG5555
MSTRG.1603	LOC100578883	CG31224
MSTRG.1604	LOC724798	CG1074
MSTRG.1605	LOC411882	EMC2A
MSTRG.1606	LOC727452	Snx6
MSTRG.1607	LOC107965381	/
MSTRG.1608	LOC725460	dpr12
MSTRG.1609	LOC551320	Schip1
MSTRG.161	/	/
MSTRG.1610	LOC102655568	/
MSTRG.1611	ROCK2	Rok
MSTRG.1612	LOC408635	CG17068
MSTRG.1613	LOC551208	CG15093
MSTRG.1614	LOC408641	CG31344
MSTRG.1615	LOC725724	Ir7e
MSTRG.1616	Mir6053	Lasp
MSTRG.1617	LOC102655594	/
MSTRG.1618	LOC408642	tou
MSTRG.1619	/	/
MSTRG.162	/	/
MSTRG.1620	LOC551420	rt
MSTRG.1621	LOC409392	RfC4
MSTRG.1622	LOC100578360	CG2790
MSTRG.1623	LOC412288	Rbcn-3B
